inclination_deg,N,spacing_deg,min_coverage,mean_coverage,full_coverage_time_ratio,mean_overlap_ratio,max_gap_time_min
40.0,57,6.315789473684211,0.7238801178673243,0.7263118983078527,0.0,4.8437256314763415,95.50211815557677
40.0,58,6.206896551724138,0.7240047403348112,0.7263534662138554,0.0,4.941404009736674,95.50211815557677
40.0,59,6.101694915254237,0.7241230861209268,0.7263929391765701,0.0,5.039084490326447,95.50211815557677
40.0,60,6.0,0.7242355696653646,0.7264295781496115,0.0,5.136779223474342,95.50211815557677
40.0,61,5.901639344262295,0.7243425717655476,0.7264661426685213,0.0,5.23445119726816,95.50211815557677
40.0,62,5.806451612903226,0.7244444428006107,0.7265001173675484,0.0,5.332137178782426,95.50211815557677
40.0,63,5.714285714285714,0.7245415056006861,0.7265324875004386,0.0,5.429824770909496,95.50211815557677
40.0,64,5.625,0.7246494641678947,0.7265633627996405,0.0,5.527513869674228,95.50211815557677
40.0,65,5.538461538461538,0.7247223751493094,0.7265928042742859,0.0,5.6252043508124965,95.50211815557677
40.0,66,5.454545454545454,0.7248067115075382,0.7266209277384947,0.0,5.722896250982979,95.50211815557677
40.0,67,5.373134328358209,0.7248873027291917,0.7266478109648762,0.0,5.820589271336117,95.50211815557677
40.0,68,5.294117647058823,0.7249643672840536,0.7266735078430527,0.0,5.918283541381347,95.50211815557677
40.0,69,5.217391304347826,0.7250381079435799,0.7266981001584489,0.0,6.0159788763517525,95.50211815557677
40.0,70,5.142857142857143,0.7251087131150866,0.726721628929941,0.0,6.113675440974491,95.50211815557677
40.0,71,5.070422535211268,0.7251763580455242,0.7267442042622354,0.0,6.211372700581854,95.50211815557677
40.0,72,5.0,0.725277636409763,0.7267658778111206,0.0,6.309071616477595,95.50211815557677
40.0,73,4.931506849315069,0.7253034087920527,0.7267865712434318,0.0,6.4067702490365726,95.50211815557677
40.0,74,4.864864864864865,0.7253631085835823,0.7268064782348732,0.0,6.504470299087586,95.50211815557677
40.0,75,4.8,0.7254204377861919,0.7268247177510819,0.0,6.602186284278861,95.50211815557677
40.0,76,4.7368421052631575,0.7254755202505787,0.7268439606363536,0.0,6.699872745742572,95.50211815557677
40.0,77,4.675324675324675,0.7255284718447781,0.7268616196233594,0.0,6.797575027466026,95.50211815557677
40.0,78,4.615384615384615,0.7255794010636366,0.7268785967666115,0.0,6.8952779893375284,95.50211815557677
40.0,79,4.556962025316456,0.7256284095846757,0.7268949434196778,0.0,6.992981615248859,95.50211815557677
40.0,80,4.5,0.7257246515984674,0.7269107861332978,0.0,7.0906878414874175,95.50211815557677
40.25,1,360.0,0.0,0.09867588120147112,0.0,0.0,95.50211815557677
40.25,2,180.0,0.0,0.19735176240294225,0.0,0.0,95.50211815557677
40.25,3,120.0,0.0,0.2960276436044133,0.0,0.0,95.50211815557677
40.25,4,90.0,0.08682211676618692,0.391485719797129,0.0,0.0032178050087553764,95.50211815557677
40.25,5,72.0,0.30329016994812175,0.4436252283888317,0.0,0.049754177618523784,95.50211815557677
40.25,6,60.0,0.42879632068205314,0.503483649422139,0.0,0.08857163778668757,95.50211815557677
40.25,7,51.42857142857143,0.4550567325948777,0.572762238262455,0.0,0.11796882253789283,95.50211815557677
40.25,8,45.0,0.4569059063432301,0.6316012135064486,0.0,0.1578058361053202,95.50211815557677
40.25,9,40.0,0.455056732594878,0.6539468691681097,0.0,0.23413585029682144,95.50211815557677
40.25,10,36.0,0.4550567325948777,0.6551881638261157,0.0,0.3315706481885953,95.50211815557677
40.25,11,32.72727272727273,0.455056732594878,0.6738749638502198,0.0,0.4115595353791212,95.50211815557677
40.25,12,30.0,0.5418788493610647,0.7002944592753428,0.0,0.4838161151423101,95.50211815557677
40.25,13,27.692307692307693,0.6287251656460934,0.7142412695434265,0.0,0.5685449433155523,95.50211815557677
40.25,14,25.714285714285715,0.679755262876165,0.7137958379249286,0.0,0.667666283675767,95.50211815557677
40.25,15,24.0,0.6671111329780645,0.7172697730918426,0.0,0.7628684449302237,95.50211815557677
40.25,16,22.5,0.6939870157347744,0.7241788608167132,0.0,0.854635096495687,95.50211815557677
40.25,17,21.176470588235293,0.6989818658558044,0.7262978352415255,0.0,0.9511918396313852,95.50211815557677
40.25,18,20.0,0.7033812133551581,0.7277739788723326,0.0,1.04839146005753,95.50211815557677
40.25,19,18.94736842105263,0.7071108606542079,0.7290247253442387,0.0,1.1458166807458758,95.50211815557677
40.25,20,18.0,0.7102998948741239,0.7300925938357405,0.0,1.2434250301936811,95.50211815557677
40.25,21,17.142857142857142,0.713047787834903,0.7310138875542723,0.0,1.341179294846771,95.50211815557677
40.25,22,16.363636363636363,0.7154321779775782,0.7318122260020191,0.0,1.439056772456663,95.50211815557677
40.25,23,15.652173913043478,0.7175143703753234,0.7325091135218154,0.0,1.5370357385717914,95.50211815557677
40.25,24,15.0,0.7196714832522251,0.7331214640857373,0.0,1.635099684749569,95.50211815557677
40.25,25,14.4,0.7209583510954466,0.7336603457396417,0.0,1.7332366842971356,95.50211815557677
