time_hours,maneuvering_satellite_count,failed_satellite_count,available_capacity_gbps,available_capacity_ratio,basic_coverage_indicator,recommended_candidate_id
6712.0,1.025335816038023,0.0,36789.74664183962,0.9997213761369462,1,0
6713.0,1.6630336292664651,0.0,36783.36966370734,0.9995480886876994,1,0
6714.0,2.3584109157882267,0.0,36776.41589084212,0.9993591274685356,1,0
6715.0,2.8768817331110768,0.0,36771.23118266889,0.9992182386594808,1,0
6716.0,1.5620809465162893,0.0,36784.37919053483,0.9995755214819247,1,0
6717.0,1.9023097266272089,0.0,36780.97690273373,0.9994830680090688,1,0
6718.0,1.2027977266516243,0.0,36787.97202273349,0.9996731527916708,1,0
6719.0,2.501114818106544,0.0,36774.98885181893,0.99932034923421,1,0
6720.0,2.1000602144886216,0.0,36778.99939785512,0.999429331463454,1,0
6721.0,1.2038966169584455,0.0,36787.96103383042,0.9996728541801744,1,0
6722.0,3.532682295534869,0.0,36764.67317704465,0.999040031984909,1,0
6723.0,1.9145436455564775,0.0,36780.85456354443,0.9994797435745768,1,0
6724.0,2.5117197309928088,0.0,36774.88280269008,0.9993174674644042,1,0
6725.0,3.288864776016453,0.0,36767.11135223984,0.9991062867456476,1,0
6726.0,1.253390201412003,0.0,36787.46609798588,0.9996594048365728,1,0
6727.0,2.799202110331862,0.0,36772.00797889668,0.9992393472526272,1,0
6728.0,2.036761527071576,0.0,36779.63238472928,0.9994465321937304,1,0
6729.0,2.943468960960672,0.0,36770.56531039039,0.9992001443040868,1,0
6730.0,1.7917018687576274,0.0,36782.08298131242,0.9995131244921852,1,0
6731.0,2.274352705741876,0.0,36777.25647294258,0.9993819693734396,1,0
6732.0,2.079105886675279,0.0,36779.20894113325,0.9994350255742732,1,0
6733.0,1.4425474631652833,0.0,36785.57452536835,0.9996080034067486,1,0
6734.0,1.8754488795466384,0.0,36781.245511204535,0.9994903671522972,1,0
6735.0,0.7483337047870009,0.0,36792.516662952126,0.999796648449786,1,0
6736.0,0.6228574663427935,0.0,36793.77142533657,0.9998307452537112,1,0
6737.0,0.9783589061989916,0.0,36790.21641093801,0.9997341416015764,1,0
6738.0,2.025831261193161,0.0,36779.74168738807,0.999449502374676,1,0
6739.0,0.4883983833387901,0.0,36795.11601616661,0.9998672830480058,1,0
6740.0,1.5265460243526832,0.0,36784.73453975647,0.9995851777107736,1,0
6741.0,3.021278825372974,0.0,36769.78721174627,0.999179000319192,1,0
6742.0,2.6005189003190026,0.0,36773.99481099681,0.999293337255348,1,0
6743.0,2.160298816136674,0.0,36778.39701183864,0.9994129622782236,1,0
6744.0,1.38925080629906,0.0,36786.10749193701,0.9996224861939405,1,0
6745.0,2.0732945141871824,0.0,36779.26705485813,0.9994366047515796,1,0
6746.0,0.7589079029867207,0.0,36792.410920970135,0.9997937750263624,1,0
6747.0,0.654363953703978,0.0,36793.45636046296,0.9998221837082326,1,0
6748.0,1.5704397887129744,0.0,36784.29560211287,0.9995732500574148,1,0
6749.0,1.9148301126951992,0.0,36780.85169887305,0.9994796657302458,1,0
6750.0,1.9949445468382687,0.0,36780.05055453162,0.9994578955035766,1,0
6751.0,3.7293705357606086,0.0,36762.7062946424,0.9989865840935436,1,0
6752.0,1.5708113498812963,0.0,36784.29188650119,0.9995731490897062,1,0
6753.0,1.5813145844276733,0.0,36784.18685415572,0.9995702949498836,1,0
6754.0,0.2730801955831339,0.0,36797.26919804417,0.9999257934251132,1,0
6755.0,3.019964633947893,0.0,36769.800353660525,0.9991793574364272,1,0
6756.0,2.906507779038293,0.0,36770.93492220962,0.9992101881035224,1,0
6757.0,1.0123420119161892,0.0,36789.87657988084,0.9997249070619793,1,0
6758.0,1.5516566465903452,0.0,36784.4834335341,0.9995783541721224,1,0
6759.0,0.9716493081368752,0.0,36790.28350691863,0.9997359648619194,1,0
6760.0,2.6784865651388827,0.0,36773.21513434861,0.999272150389908,1,0
6761.0,1.6077705644693197,0.0,36783.9222943553,0.9995631058248724,1,0
6762.0,0.065841622958942,0.0,36799.34158377041,0.9999821082546306,1,0
6763.0,1.7820510818264663,0.0,36782.17948918173,0.999515746988634,1,0
6764.0,2.423792405571476,0.0,36775.76207594429,0.9993413607593556,1,0
6765.0,1.117773378489801,0.0,36788.8222662151,0.999696257234106,1,0
6766.0,1.4812727048338274,0.0,36785.18727295166,0.9995974802432516,1,0
6767.0,1.7613443259197084,0.0,36782.38655674081,0.9995213738244784,1,0
6768.0,0.8178865095796937,0.0,36791.8211349042,0.9997777482310924,1,0
6769.0,1.8506844158737292,0.0,36781.49315584127,0.9994970966261212,1,0
6770.0,1.5795566883734864,0.0,36784.20443311626,0.9995707726390288,1,0
6771.0,3.577726679843181,0.0,36764.22273320157,0.999027791663086,1,0
6772.0,2.1153502704310085,0.0,36778.846497295686,0.999425176556948,1,0
6773.0,1.2044070590163756,0.0,36787.95592940984,0.9996727154730932,1,0
6774.0,0.6014332097893202,0.0,36793.9856679021,0.9998365670625572,1,0
6775.0,1.1279065274029565,0.0,36788.72093472597,0.9996935036610318,1,0
6776.0,2.140892991685177,0.0,36778.591070083145,0.9994182356000856,1,0
6777.0,1.4130406341873822,0.0,36785.86959365813,0.999616021566797,1,0
6778.0,0.9780334536635564,0.0,36790.219665463366,0.9997342300397654,1,0
6779.0,0.9122500292069162,0.0,36790.87749970793,0.9997521059703242,1,0
6780.0,3.280048234157221,0.0,36767.19951765843,0.999108682545066,1,0
6781.0,2.462634224330941,0.0,36775.37365775669,0.9993308059173012,1,0
6782.0,4.627032739305832,0.0,36753.72967260694,0.9987426541469278,1,0
6783.0,1.1821625102529651,0.0,36788.17837489747,0.9996787601874312,1,0
6784.0,2.730287354845132,0.0,36772.697126451545,0.9992580740883572,1,0
6785.0,2.1401285953670595,0.0,36778.598714046326,0.9994184433164762,1,0
6786.0,0.7921953260165537,0.0,36792.07804673984,0.999784729530974,1,0
6787.0,2.1910879168517567,0.0,36778.089120831486,0.9994045956747688,1,0
6788.0,0.7105394298087049,0.0,36792.89460570191,0.999806918633204,1,0
6789.0,1.5579001685155165,0.0,36784.42099831485,0.9995766575629036,1,0
6790.0,1.4456784945314212,0.0,36785.54321505469,0.9996071525830076,1,0
6791.0,0.122608549688266,0.0,36798.77391450312,0.9999666824593236,1,0
6792.0,1.4834045376674112,0.0,36785.16595462333,0.9995969009408512,1,0
6793.0,2.688794217978284,0.0,36773.11205782022,0.9992693493972884,1,0
6794.0,2.1638822866170813,0.0,36778.36117713383,0.9994119885090716,1,0
6795.0,1.8276645110963727,0.0,36781.72335488904,0.9995033520350282,1,0
6796.0,3.2339375815736275,0.0,36767.66062418427,0.9991212126137028,1,0
6797.0,2.483638002747284,0.0,36775.163619972525,0.9993250983688188,1,0
6798.0,0.0161234749039067,0.0,36799.83876525096,0.99999561862095,1,0
6799.0,0.9823872362458131,0.0,36790.17612763754,0.9997330469466724,1,0
