event_sample_id,delta_v_required_mps,delta_v_commanded_mps,delta_v_actual_mps,delta_v_limited
358853,0.0018356955839587223,0.0018356955839587223,0.0018037355982458358,False
358857,0.003486471234377109,0.003486471234377109,0.003558305713372682,False
358889,0.0020086638583883426,0.0020086638583883426,0.0020160120842981455,False
358920,0.002348163869893669,0.002348163869893669,0.0022708730850786595,False
358990,0.001200101711156028,0.001200101711156028,0.001230625741479914,False
359015,0.0021058016218931993,0.0021058016218931993,0.0021054631138265295,False
359017,0.002213765854149674,0.002213765854149674,0.0022327431770623853,False
359019,0.0021947244427449643,0.0021947244427449643,0.0021383352661354747,False
359075,0.0022330495970793785,0.0022330495970793785,0.0023297079030610937,False
359148,0.002361921471534016,0.002361921471534016,0.002350558352897235,False
359172,0.0023197537484971466,0.0023197537484971466,0.002444252853565345,False
359179,0.00310058703288853,0.00310058703288853,0.0031220950405447577,False
359202,0.002628975083777537,0.002628975083777537,0.0025769425737996294,False
359208,0.0027553761327782644,0.0027553761327782644,0.002773745267650916,False
359239,0.0032090122120791886,0.0032090122120791886,0.003217306953382108,False
359247,0.0025283972901442276,0.0025283972901442276,0.0024638809864016053,False
359288,0.002812742065792838,0.002812742065792838,0.002840847410004539,False
359300,0.0020375640068732797,0.0020375640068732797,0.0019720484377179015,False
359303,0.0023142541162977388,0.0023142541162977388,0.0023178852077064944,False
359318,0.002820408378671799,0.002820408378671799,0.002830167106434121,False
359402,0.0028430746715102134,0.0028430746715102134,0.002881512822870003,False
359454,0.00237037324640979,0.00237037324640979,0.0024411784196506654,False
359512,0.0024436600111328744,0.0024436600111328744,0.0024551691231811854,False
359516,0.0043453344418964346,0.0043453344418964346,0.004399314111194449,False
359559,0.0029429451120064946,0.0029429451120064946,0.0030109035904524665,False
359560,0.0015705854447832525,0.0015705854447832525,0.0016356699465125758,False
359575,0.001424354832483701,0.001424354832483701,0.001407567142563134,False
359597,0.0016816748041151592,0.0016816748041151592,0.001693024018209051,False
359627,0.00312248115318836,0.00312248115318836,0.003120160880427791,False
359641,0.001361963483160206,0.001361963483160206,0.0013760268576602456,False
359690,0.0018571184593325948,0.0018571184593325948,0.0018824015222470537,False
359711,0.0023238214689088343,0.0023238214689088343,0.002335052434022025,False
359726,0.0023109001909228594,0.0023109001909228594,0.0023140647031191326,False
359747,0.0016738461048470905,0.0016738461048470905,0.0016757405520850825,False
359750,0.002662391738737408,0.002662391738737408,0.0027348348922690796,False
359758,0.0023420863159097586,0.0023420863159097586,0.0023724994995519117,False
359771,0.002687410236097329,0.002687410236097329,0.002599544813826383,False
359797,0.001472900697419994,0.001472900697419994,0.0015164704520969842,False
