time_seconds,ground_index,satellite_id,assigned_gbps,assignment_cost_ms
67200.0,62,1212,20.0,30.658077852303236
67200.0,62,284,20.0,40.94330090635333
67200.0,6,1825,20.0,30.97612853144951
67200.0,61,239,20.0,37.74066941143954
67200.0,10,985,20.0,32.78849914950489
67200.0,0,895,20.0,38.654939392849336
67200.0,35,104,20.0,28.81391285723975
67200.0,109,1166,20.0,27.292353502547968
67200.0,83,1030,20.0,29.756993179125466
67200.0,124,240,20.0,34.829600983143145
67200.0,152,59,20.0,25.887799716863974
67200.0,127,1781,20.0,27.99251919043993
67200.0,246,1211,20.0,27.458043769109047
67200.0,246,195,20.0,31.7458260683779
67200.0,217,1075,20.0,27.294876655705334
67200.0,314,1256,20.0,28.282989613569978
67200.0,273,14,20.0,24.249033092581573
67200.0,254,939,20.0,32.867302423888276
67500.0,42,1119,20.0,21.961455902356228
67500.0,42,146,20.0,24.14825295696911
67500.0,42,191,20.0,27.621511456604246
67500.0,49,1164,20.0,21.969402494377196
67500.0,49,192,20.0,24.321944889557848
67500.0,34,1074,20.0,23.573508436776372
67500.0,34,101,20.0,22.499422020045508
67500.0,7,938,20.0,29.367843349504504
67500.0,7,1823,20.0,26.168430392127448
67500.0,7,10,20.0,25.106755310116657
67500.0,15,983,20.0,26.12813325498858
67500.0,18,55,20.0,25.14716520090423
67500.0,18,1028,20.0,23.768445250377244
67500.0,21,56,20.0,21.550914833831886
67500.0,28,1029,20.0,26.135778938214806
67500.0,16,11,20.0,21.609110180284784
67500.0,62,1210,20.0,25.709868789835646
67500.0,62,282,20.0,31.033996689252216
67500.0,62,237,20.0,27.752492015293857
67500.0,53,1165,20.0,25.81139663279846
67500.0,53,236,20.0,30.952367041910904
67500.0,55,1209,20.0,22.52553892882402
67500.0,0,893,20.0,33.00006134835414
67500.0,106,147,20.0,21.112374571672454
67500.0,90,1073,20.0,21.628644158375963
67500.0,64,937,20.0,27.494544594496034
67500.0,63,1778,20.0,27.862989870864197
67500.0,134,1824,20.0,22.648790353723733
67500.0,188,1254,20.0,23.41564821858253
67500.0,224,1118,20.0,19.934690422182157
67500.0,224,102,20.0,19.54347254122488
67500.0,197,982,20.0,24.091731424839097
67500.0,314,238,20.0,26.293129557125418
67500.0,254,1779,20.0,24.170581497567007
67800.0,42,1117,20.0,24.129387832972338
67800.0,42,144,20.0,25.64486359408493
